BIDGBPUSD;BIDUSDJPY;ASKGBPJPY
1.2498;101.86;127.368
1.2498;101.86;127.367
1.2498;101.87;127.367
1.2498;101.88;127.386
1.2498;101.9;127.409
1.2498;101.9;127.406
1.2498;101.9;127.409
1.2498;101.9;127.409
1.2498;101.9;127.408
1.2498;101.87;127.376
1.2498;101.87;127.37
1.2498;101.86;127.371
1.2498;101.86;127.371
1.2498;101.84;127.364
1.2498;101.84;127.362
1.2498;101.85;127.362
1.2498;101.85;127.362
1.2498;101.85;127.362
1.2499;101.84;127.354
1.2498;101.84;127.356
1.2498;101.84;127.356
1.2498;101.85;127.374
1.2498;101.86;127.374
1.2498;101.85;127.37
1.2498;101.86;127.373
1.2498;101.87;127.387
1.2499;101.87;127.391
1.2498;101.88;127.403
1.2498;101.89;127.419
1.2498;101.89;127.425
1.2498;101.89;127.422
1.2498;101.9;127.426
1.2498;101.9;127.427
1.2498;101.9;127.426
1.2498;101.9;127.426
1.2498;101.9;127.424
1.2499;101.9;127.417
1.2499;101.91;127.432
1.2499;101.9;127.427
1.2499;101.9;127.427
1.2499;101.9;127.426
1.2499;101.9;127.426
1.2499;101.9;127.422
1.2499;101.9;127.421
1.2499;101.9;127.422
1.2499;101.9;127.419
1.2499;101.89;127.42
1.2499;101.9;127.428
1.2499;101.9;127.433
1.2499;101.9;127.436
1.2499;101.9;127.43
1.2499;101.9;127.428
1.2499;101.9;127.432
1.2499;101.9;127.432
1.2499;101.91;127.443
1.2499;101.94;127.484
1.2499;101.95;127.488
1.2499;101.94;127.481
1.2499;101.94;127.482
1.2499;101.94;127.482
1.2499;101.94;127.482
1.2499;101.95;127.492
1.2499;101.95;127.488
1.2499;101.94;127.485
1.2499;101.95;127.484
1.2499;101.95;127.483
1.2498;101.95;127.483
1.2498;101.95;127.487
1.2498;101.95;127.485
1.2498;101.95;127.485
1.2498;101.95;127.485
1.2498;101.94;127.473
1.2498;101.92;127.448
1.2498;101.92;127.445
1.2498;101.92;127.449
1.2498;101.92;127.447
1.2498;101.92;127.445
1.2498;101.92;127.445
1.2499;101.91;127.423
1.2498;101.89;127.41
1.2498;101.89;127.411
1.2498;101.89;127.407
1.2498;101.89;127.408
1.2498;101.89;127.409
1.2498;101.89;127.414
1.2498;101.89;127.412
1.2498;101.89;127.408
1.2498;101.88;127.404
1.2498;101.88;127.409
1.2498;101.87;127.397
1.2498;101.89;127.409
1.2498;101.88;127.406
1.2498;101.88;127.397
1.2498;101.86;127.383
1.2498;101.87;127.398
1.2498;101.87;127.399
1.2498;101.88;127.402
1.2498;101.87;127.406
1.2498;101.87;127.403
1.2499;101.88;127.403
1.2499;101.88;127.403
1.2499;101.88;127.406
1.2499;101.89;127.421
1.2499;101.89;127.424
1.2499;101.89;127.419
1.2499;101.89;127.431
1.2499;101.89;127.43
1.2499;101.89;127.424
1.2499;101.89;127.428
1.2499;101.88;127.426
1.2499;101.89;127.428
1.2499;101.89;127.427
1.2499;101.88;127.425
1.2499;101.88;127.422
1.2499;101.88;127.421
1.2499;101.89;127.423
1.2499;101.89;127.424
1.2499;101.89;127.419
1.2499;101.89;127.42
1.2499;101.89;127.424
1.2499;101.89;127.434
1.2499;101.89;127.432
1.2499;101.9;127.435
1.2499;101.9;127.436
1.2499;101.9;127.434
1.2499;101.9;127.439
1.2499;101.9;127.432
1.2499;101.9;127.433
1.2499;101.9;127.435
1.2499;101.9;127.434
1.2499;101.9;127.444
1.2499;101.89;127.425
1.2499;101.89;127.427
1.2499;101.89;127.425
1.2499;101.89;127.43
1.2499;101.9;127.435
1.2499;101.89;127.428
1.2499;101.89;127.421
1.2499;101.89;127.421
1.2499;101.89;127.423
1.2499;101.88;127.422
1.2499;101.88;127.418
1.2499;101.88;127.418
1.2499;101.88;127.419
1.2499;101.88;127.42
1.25;101.89;127.427
1.25;101.89;127.429
1.25;101.89;127.43
1.25;101.89;127.428
1.25;101.89;127.429
1.25;101.89;127.436
1.25;101.89;127.433
1.25;101.89;127.435
1.25;101.89;127.441
1.25;101.89;127.439
1.25;101.89;127.44
1.25;101.89;127.434
1.25;101.89;127.432
1.25;101.88;127.432
1.25;101.88;127.425
1.25;101.88;127.428
1.25;101.89;127.434
1.25;101.89;127.431
1.25;101.89;127.43
1.25;101.89;127.426
1.25;101.89;127.426
1.25;101.89;127.426
1.25;101.88;127.426
1.25;101.89;127.424
1.2499;101.89;127.432
1.2499;101.89;127.432
1.2499;101.89;127.432
1.2499;101.89;127.432
1.2499;101.89;127.432
1.2499;101.88;127.426
1.2499;101.89;127.43
1.2499;101.89;127.43
1.2499;101.88;127.43
1.2499;101.88;127.428
1.2499;101.89;127.425
1.2499;101.89;127.425
1.2499;101.88;127.424
1.2499;101.88;127.422
1.2499;101.88;127.422
1.2499;101.89;127.426
1.2499;101.89;127.426
1.2499;101.87;127.408
1.2499;101.87;127.406
1.2498;101.87;127.403
1.2499;101.87;127.4
1.2499;101.87;127.388
1.2499;101.87;127.388
1.2499;101.86;127.371
1.2499;101.87;127.381
1.2499;101.86;127.378
1.2499;101.86;127.377
1.2499;101.87;127.379
1.2499;101.86;127.377
1.2499;101.86;127.39
1.25;101.87;127.407
1.25;101.86;127.406
1.25;101.87;127.406
1.25;101.86;127.389
1.25;101.87;127.406
1.25;101.86;127.391
1.25;101.85;127.384
1.25;101.86;127.387
1.25;101.86;127.387
1.25;101.87;127.396
1.25;101.87;127.398
1.25;101.86;127.394
1.25;101.87;127.398
1.25;101.87;127.393
1.25;101.87;127.391
1.25;101.88;127.423
1.2499;101.88;127.426
1.2499;101.88;127.425
1.2499;101.89;127.426
1.2499;101.9;127.443
1.2499;101.9;127.444
1.2499;101.9;127.443
1.2499;101.89;127.437
1.2499;101.89;127.431
1.2499;101.9;127.439
1.2499;101.89;127.437
